,manufacturer
1972,Ritual
389,Cacao de Origen
890,Finca
478,Castronovo
635,Cravve
2466,Woodblock
55,Alain Ducasse
2478,Xocolatisimo
2346,Treehouse aka Indaphoria
785,Domori
1094,Guittard
2171,Soma
1977,Ritual
1703,Nova Monda
2528,Zotter
640,Creo
1389,Lillie Belle
911,Forteza (Cortes)
562,Chocovic
1736,Ohiyo
830,Eclat (Fruition)
159,Artisan du Chocolat
603,Compania de Chocolate (Salgado)
1793,Palette de Bine
2100,"Smooth Chocolator, The"
1644,Monarque
2447,Whittakers
472,Casa Lasevicius
2529,Zotter
383,Cacao de Origen
59,Alexandre
109,AMMA
1613,Milton
1241,Johnny Iuzzini
617,Coppeneur
1237,Johnny Iuzzini
1725,Odyssey
1223,Indah
1208,Hummingbird
6,5150
275,Black Mountain
1958,Raphio
2133,Solstice
124,Arete
1444,Maglio
961,Fresco
2029,Santander (Compania Nacional)
185,Auro
1912,Pump Street Bakery
746,Dick Taylor
1127,Hazel Hill
1367,Legast
2092,Sirene
1938,Quetzalli (Wolter)
620,Coppeneur
2263,Szanto Tibor
240,Bernachon
976,Fresco
1821,Parre Chocolat
2146,Soma
324,Bouga Cacao (Tulicorp)
382,Cacao de Origen
2500,Zokoko
4,5150
423,Cacaosuyo
2470,Woodblock
1131,Heinde & Verre
753,Dick Taylor
2189,Soma
79,Amano
1245,Johnny Iuzzini
51,Alain Ducasse
266,Bittersweet Origins
221,Belcolade
1558,Mellow
190,Bahen & Co.
1631,Moka Origins
1668,Naive
1772,Original Hawaiin Chocolate Factory
1741,Olive and Sinclair
1233,Izard
1882,Potomac
2095,Sirene
1612,Milton
206,Bar Au Chocolat
1954,Raphio
2394,Valrhona
533,Chocolate Con Amor
1044,Georgia Ramon
2117,Snake & Butterfly
679,Dandelion
292,Bonaterra
1614,Mindo
832,El Buen
1009,Friis Holm
62,Altus aka Cao Artisan
1817,Parliament
94,Ambrosia
536,Chocolate Makers
227,Belvie
68,Altus aka Cao Artisan
1722,Ocho
470,Casa
1699,Noir d' Ebine
1751,Omnom
1276,Kallari (Ecuatoriana)
1329,La Feverie (Hasnaa)
2158,Soma
2373,Upchurch
1147,Hemisphere
745,Dick Taylor
838,El Rey
1252,Kad Kokoa
2122,Sol Cacao
424,Cacaosuyo
2329,Thistle & Rose aka Aggie USU
1900,Pralus
1657,Mutari
1547,Mayacama
1017,Friis Holm (Bonnat)
2193,Somerville
